year,state,crop,season,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
2008,Haryana,Tur,Kharif,33431.0,35800.0,1.070862373246388
2008,Haryana,Urad,Kharif,2580.0,1000.0,0.3875968992248062
2008,Haryana,Wheat,Rabi,2461420.0,11360000.0,4.615222107563927
2008,Maharashtra,Bajra,Kharif,865400.0,661900.0,0.7648486249133348
2008,Maharashtra,Cotton,Kharif,3146000.0,808214.2857142857,0.2569021887203706
2008,Maharashtra,Gram,Rabi,1143300.0,773900.0,0.6769002011720459
2008,Maharashtra,Groundnut,Kharif,253600.0,257500.0,1.015378548895899
2008,Maharashtra,Jowar,Kharif,847300.0,984800.0,1.1622801841142452
2008,Maharashtra,Jowar,Rabi,3223900.0,2367200.0,0.7342659511771457
2008,Maharashtra,Maize,Kharif,550100.0,1323000.0,2.405017269587348
2008,Maharashtra,Maize,Rabi,85900.0,206700.0,2.406286379511059
2008,Maharashtra,Moong,Kharif,426600.0,106000.0,0.2484763244256915
2008,Maharashtra,Paddy,Kharif,1499500.0,2234300.0,1.4900300100033343
2008,Maharashtra,Ragi,Kharif,125500.0,125000.0,0.99601593625498
2008,Maharashtra,Rapeseed & Mustard,Rabi,6200.0,2100.0,0.3387096774193548
2008,Maharashtra,Safflower,Rabi,185700.0,105200.0,0.5665051157781368
2008,Maharashtra,Sesame,Kharif,54100.0,13600.0,0.2513863216266174
2008,Maharashtra,Sesame,Rabi,1700.0,700.0,0.4117647058823529
2008,Maharashtra,Soybean,Kharif,3063200.0,1839900.0,0.6006463828675894
2008,Maharashtra,Sunflower,Kharif,110800.0,58000.0,0.5234657039711191
2008,Maharashtra,Sunflower,Rabi,146900.0,91800.0,0.6249149081007488
2008,Maharashtra,Tur,Kharif,1008500.0,605000.0,0.5999008428358948
2008,Maharashtra,Urad,Kharif,323900.0,99900.0,0.3084285273232479
2008,Maharashtra,Wheat,Rabi,1021800.0,1516400.0,1.4840477588569192
2008,Punjab,Bajra,Kharif,5000.0,5000.0,1.0
2008,Punjab,Barley,Rabi,16000.0,55000.0,3.4375
2008,Punjab,Cotton,Kharif,527000.0,388605.4421768707,0.7373917308859027
